cddept,inseecommuneprinc,nomcommuneprinc
023,23001,AHUN
023,23002,AJAIN
023,23003,ALLEYRAT
023,23004,ANZEME
023,23005,ARFEUILLE-CHATAIN
023,23006,ARRENES
023,23007,ARS
023,23008,AUBUSSON
023,23009,AUGE
023,23010,AUGERES
023,23011,AULON
023,23012,AURIAT
023,23013,AUZANCES
023,23014,AZAT-CHATENET
023,23015,AZERABLES
023,23016,BANIZE
023,23017,BASVILLE
023,23018,BAZELAT
023,23019,BEISSAT
023,23020,BELLEGARDE-EN-MARCHE
023,23021,BENEVENT-L'ABBAYE
023,23022,BETETE
023,23024,BLESSAC
023,23025,BONNAT
023,23026,BORD-SAINT-GEORGES
023,23027,BOSMOREAU-LES-MINES
023,23028,BOSROGER
023,23029,BOURG-D'HEM (LE)
023,23030,BOURGANEUF
023,23031,BOUSSAC
023,23032,BOUSSAC-BOURG
023,23033,BRIONNE (LA)
023,23034,BROUSSE
023,23035,BUDELIERE
023,23036,BUSSIERE-DUNOISE
023,23037,BUSSIERE-NOUVELLE
023,23038,BUSSIERE-SAINT-GEORGES
023,23039,CELLE-DUNOISE (LA)
023,23040,CELLE-SOUS-GOUZON (LA)
023,23041,CELLETTE (LA)
023,23042,CEYROUX
023,23043,CHAMBERAUD
023,23044,CHAMBON-SAINTE-CROIX
023,23045,CHAMBON-SUR-VOUEIZE
023,23046,CHAMBONCHARD
023,23047,CHAMBORAND
023,23048,CHAMPAGNAT
023,23049,CHAMPSANGLARD
023,23050,CHAPELLE-BALOUE (LA)
023,23051,CHAPELLE-SAINT-MARTIAL (LA)
023,23052,CHAPELLE-TAILLEFERT (LA)
023,23053,CHARD
023,23054,CHARRON
023,23055,CHATELARD
023,23056,CHATELUS-LE-MARCHEIX
023,23057,CHATELUS-MALVALEIX
023,23058,CHAUCHET (LE)
023,23059,CHAUSSADE (LA)
023,23060,CHAVANAT
023,23061,CHENERAILLES
023,23062,CHENIERS
023,23063,CLAIRAVAUX
023,23064,CLUGNAT
023,23065,COLONDANNES
023,23066,COMPAS (LE)
