cddept,inseecommuneprinc,nomcommuneprinc
02A,2A001,AFA
02A,2A004,AJACCIO
02A,2A006,ALATA
02A,2A008,ALBITRECCIA
02A,2A011,ALTAGENE
02A,2A014,AMBIEGNA
02A,2A017,APPIETTO
02A,2A018,ARBELLARA
02A,2A019,ARBORI
02A,2A021,ARGIUSTA-MORICCIO
02A,2A022,ARRO
02A,2A024,AULLENE
02A,2A026,AZILONE-AMPAZA
02A,2A027,AZZANA
02A,2A028,BALOGNA
02A,2A031,BASTELICA
02A,2A032,BASTELICACCIA
02A,2A035,BELVEDERE-CAMPOMORO
02A,2A038,BILIA
02A,2A040,BOCOGNANO
02A,2A041,BONIFACIO
02A,2A048,CALCATOGGIO
02A,2A056,CAMPO
02A,2A060,CANNELLE
02A,2A061,CARBINI
02A,2A062,CARBUCCIA
02A,2A064,CARDO-TORGIA
02A,2A065,CARGESE
02A,2A066,CARGIACA
02A,2A070,CASAGLIONE
02A,2A071,CASALABRIVA
02A,2A085,CAURO
02A,2A089,CIAMANNACCE
02A,2A090,COGGIA
02A,2A091,COGNOCOLI-MONTICCHI
02A,2A092,CONCA
02A,2A094,CORRANO
02A,2A098,COTI-CHIAVARI
02A,2A099,COZZANO
02A,2A100,CRISTINACCE
02A,2A103,CUTTOLI-CORTICCHIATO
02A,2A104,ECCICA-SUARELLA
02A,2A108,EVISA
02A,2A114,FIGARI
02A,2A115,FOCE
02A,2A117,FORCIOLO
02A,2A118,FOZZANO
02A,2A119,FRASSETO
02A,2A127,GIUNCHETO
02A,2A128,GRANACE
02A,2A129,GROSSA
02A,2A130,GROSSETO-PRUGNA
02A,2A131,GUAGNO
02A,2A132,GUARGUALE
02A,2A133,GUITERA-LES-BAINS
02A,2A139,LECCI
02A,2A141,LETIA
02A,2A142,LEVIE
02A,2A144,LOPIGNA
02A,2A146,LORETO-DI-TALLANO
02A,2A154,MARIGNANA
02A,2A158,MELA
02A,2A160,MOCA-CROCE
02A,2A163,MONACIA-D'AULLENE
02A,2A174,MURZO
02A,2A181,OCANA
02A,2A186,OLIVESE
02A,2A189,OLMETO
02A,2A191,OLMICCIA
02A,2A196,ORTO
02A,2A197,OSANI
02A,2A198,OTA
02A,2A200,PALNECA
02A,2A203,PARTINELLO
02A,2A204,PASTRICCIOLA
02A,2A209,PERI
02A,2A211,PETRETO-BICCHISANO
02A,2A212,PIANA
02A,2A215,PIANOTTOLI-CALDARELLO
02A,2A228,PIETROSELLA
02A,2A232,PILA-CANALE
02A,2A240,POGGIOLO
02A,2A247,PORTO-VECCHIO
02A,2A249,PROPRIANO
02A,2A253,QUASQUARA
02A,2A254,QUENZA
02A,2A258,RENNO
02A,2A259,REZZA
02A,2A262,ROSAZIA
02A,2A266,SALICE
02A,2A268,SAMPOLO
02A,2A269,SARI-SOLENZARA
02A,2A270,SARI-D'ORCINO
02A,2A271,SARROLA-CARCOPINO
02A,2A272,SARTENE
02A,2A276,SERRA-DI-FERRO
02A,2A278,SERRA-DI-SCOPAMENE
02A,2A279,SERRIERA
02A,2A282,SOCCIA
02A,2A284,SOLLACARO
02A,2A285,SORBOLLANO
02A,2A288,SOTTA
02A,2A295,SANT'ANDREA-D'ORCINO
02A,2A300,SAN-GAVINO-DI-CARBINI
02A,2A308,SAINTE-LUCIE-DE-TALLANO
02A,2A310,SANTA-MARIA-FIGANIELLA
02A,2A312,SANTA-MARIA-SICHE
02A,2A322,TASSO
02A,2A323,TAVACO
02A,2A324,TAVERA
02A,2A326,TOLLA
02A,2A330,UCCIANI
02A,2A331,URBALACONE
02A,2A336,VALLE-DI-MEZZANA
02A,2A345,VERO
02A,2A348,VICO
02A,2A349,VIGGIANELLO
02A,2A351,VILLANOVA
02A,2A357,ZERUBIA
02A,2A358,ZEVACO
02A,2A359,ZICAVO
02A,2A360,ZIGLIARA
02A,2A362,ZONZA
02A,2A363,ZOZA
