cddept,inseecommuneprinc,nomcommuneprinc
02B,2B003,AITI
02B,2B005,ALANDO
02B,2B007,ALBERTACCE
02B,2B009,ALERIA
02B,2B010,ALGAJOLA
02B,2B012,ALTIANI
02B,2B013,ALZI
02B,2B015,AMPRIANI
02B,2B016,ANTISANTI
02B,2B023,ASCO
02B,2B025,AVAPESSA
02B,2B029,BARBAGGIO
02B,2B030,BARRETTALI
02B,2B033,BASTIA
02B,2B034,BELGODERE
02B,2B036,BIGORNO
02B,2B037,BIGUGLIA
02B,2B039,BISINCHI
02B,2B042,BORGO
02B,2B043,BRANDO
02B,2B045,BUSTANICO
02B,2B046,CAGNANO
02B,2B047,CALACUCCIA
02B,2B049,CALENZANA
02B,2B050,CALVI
02B,2B051,CAMBIA
02B,2B052,CAMPANA
02B,2B053,CAMPI
02B,2B054,CAMPILE
02B,2B055,CAMPITELLO
02B,2B057,CANALE-DI-VERDE
02B,2B058,CANARI
02B,2B059,CANAVAGGIA
02B,2B063,CARCHETO-BRUSTICO
02B,2B067,CARPINETO
02B,2B068,CARTICASI
02B,2B069,CASABIANCA
02B,2B072,CASALTA
02B,2B073,CASAMACCIOLI
02B,2B074,CASANOVA
02B,2B075,CASEVECCHIE
02B,2B077,CASTELLARE-DI-CASINCA
02B,2B078,CASTELLARE-DI-MERCURIO
02B,2B079,CASTELLO-DI-ROSTINO
02B,2B080,CASTIFAO
02B,2B081,CASTIGLIONE
02B,2B082,CASTINETA
02B,2B083,CASTIRLA
02B,2B084,CATERI
02B,2B086,CENTURI
02B,2B087,CERVIONE
02B,2B088,CHIATRA
02B,2B093,CORBARA
02B,2B095,CORSCIA
02B,2B096,CORTE
02B,2B097,COSTA
02B,2B101,CROCE
02B,2B102,CROCICCHIA
02B,2B105,ERBAJOLO
02B,2B106,ERONE
02B,2B107,ERSA
02B,2B109,FARINOLE
02B,2B110,FAVALELLO
02B,2B111,FELCE
02B,2B112,FELICETO
02B,2B113,FICAJA
02B,2B116,FOCICCHIA
02B,2B120,FURIANI
02B,2B121,GALERIA
02B,2B122,GAVIGNANO
02B,2B123,GHISONACCIA
02B,2B124,GHISONI
02B,2B125,GIOCATOJO
02B,2B126,GIUNCAGGIO
02B,2B134,ILE-ROUSSE (L')
02B,2B135,ISOLACCIO-DI-FIUMORBO
02B,2B136,LAMA
02B,2B137,LANO
02B,2B138,LAVATOGGIO
02B,2B140,LENTO
02B,2B143,LINGUIZZETTA
02B,2B145,LORETO-DI-CASINCA
02B,2B147,LOZZI
02B,2B148,LUCCIANA
02B,2B149,LUGO-DI-NAZZA
02B,2B150,LUMIO
02B,2B152,LURI
02B,2B153,MANSO
02B,2B155,MATRA
02B,2B156,MAUSOLEO
02B,2B157,MAZZOLA
02B,2B159,MERIA
02B,2B161,MOITA
02B,2B162,MOLTIFAO
02B,2B164,MONACIA-D'OREZZA
02B,2B165,MONCALE
02B,2B166,MONTE
02B,2B167,MONTEGROSSO
02B,2B168,MONTICELLO
02B,2B169,MOROSAGLIA
02B,2B170,MORSIGLIA
02B,2B171,MURACCIOLE
02B,2B172,MURATO
02B,2B173,MURO
02B,2B175,NESSA
02B,2B176,NOCARIO
02B,2B177,NOCETA
02B,2B178,NONZA
02B,2B179,NOVALE
02B,2B180,NOVELLA
02B,2B182,OCCHIATANA
02B,2B183,OGLIASTRO
02B,2B184,OLCANI
02B,2B185,OLETTA
02B,2B187,OLMETA-DI-CAPOCORSO
02B,2B188,OLMETA-DI-TUDA
02B,2B190,OLMI-CAPPELLA
02B,2B192,OLMO
02B,2B193,OMESSA
02B,2B194,ORTALE
02B,2B195,ORTIPORIO
02B,2B199,PALASCA
02B,2B201,PANCHERACCIA
02B,2B202,PARATA
02B,2B205,PATRIMONIO
02B,2B206,PENTA-ACQUATELLA
02B,2B207,PENTA-DI-CASINCA
02B,2B208,PERELLI
02B,2B210,PERO-CASEVECCHIE
02B,2B213,PIANELLO
02B,2B214,PIANO
02B,2B216,PIAZZALI
02B,2B217,PIAZZOLE
02B,2B218,PIEDICORTE-DI-GAGGIO
02B,2B219,PIEDICROCE
02B,2B220,PIEDIGRIGGIO
02B,2B221,PIEDIPARTINO
02B,2B222,PIE-D'OREZZA
02B,2B223,PIETRALBA
02B,2B224,PIETRACORBARA
02B,2B225,PIETRA-DI-VERDE
02B,2B226,PIETRASERENA
02B,2B227,PIETRICAGGIO
02B,2B229,PIETROSO
02B,2B230,PIEVE
02B,2B231,PIGNA
02B,2B233,PINO
02B,2B234,PIOBETTA
02B,2B235,PIOGGIOLA
02B,2B236,POGGIO-DI-NAZZA
02B,2B238,POGGIO-DI-VENACO
02B,2B239,POGGIO-D'OLETTA
02B,2B241,POGGIO-MARINACCIO
02B,2B242,POGGIO-MEZZANA
02B,2B243,POLVEROSO
02B,2B244,POPOLASCA
02B,2B245,PORRI
02B,2B246,PORTA (LA)
02B,2B248,PRATO-DI-GIOVELLINA
02B,2B250,PRUNELLI-DI-CASACCONI
02B,2B251,PRUNELLI-DI-FIUMORBO
02B,2B252,PRUNO
02B,2B255,QUERCITELLO
02B,2B256,RAPAGGIO
02B,2B257,RAPALE
02B,2B260,RIVENTOSA
02B,2B261,ROGLIANO
02B,2B263,ROSPIGLIANI
02B,2B264,RUSIO
02B,2B265,RUTALI
02B,2B267,SALICETO
02B,2B273,SCATA
02B,2B274,SCOLCA
02B,2B275,SERMANO
02B,2B277,SERRA-DI-FIUMORBO
02B,2B280,SILVARECCIO
02B,2B281,SISCO
02B,2B283,SOLARO
02B,2B286,SORBO-OCAGNANO
02B,2B287,SORIO
02B,2B289,SOVERIA
02B,2B290,SPELONCATO
02B,2B291,STAZZONA
02B,2B292,SANT'ANDREA-DI-BOZIO
02B,2B293,SANT'ANDREA-DI-COTONE
02B,2B296,SANT'ANTONINO
02B,2B297,SAN-DAMIANO
02B,2B298,SAINT-FLORENT
02B,2B299,SAN-GAVINO-D'AMPUGNANI
02B,2B301,SAN-GAVINO-DI-TENDA
02B,2B302,SAN-GIOVANNI-DI-MORIANI
02B,2B303,SAN-GIULIANO
02B,2B304,SAN-LORENZO
02B,2B305,SAN-MARTINO-DI-LOTA
02B,2B306,SANTA-LUCIA-DI-MERCURIO
02B,2B307,SANTA-LUCIA-DI-MORIANI
02B,2B309,SANTA-MARIA-DI-LOTA
02B,2B311,SANTA-MARIA-POGGIO
02B,2B313,SAN-NICOLAO
02B,2B314,SANTO-PIETRO-DI-TENDA
02B,2B315,SANTO-PIETRO-DI-VENACO
02B,2B316,SANTA-REPARATA-DI-BALAGNA
02B,2B317,SANTA-REPARATA-DI-MORIANI
02B,2B318,TAGLIO-ISOLACCIO
02B,2B319,TALASANI
02B,2B320,TALLONE
02B,2B321,TARRANO
02B,2B327,TOMINO
02B,2B328,TOX
02B,2B329,TRALONCA
02B,2B332,URTACA
02B,2B333,VALLECALLE
02B,2B334,VALLE-D'ALESANI
02B,2B335,VALLE-DI-CAMPOLORO
02B,2B337,VALLE-DI-ROSTINO
02B,2B338,VALLE-D'OREZZA
02B,2B339,VALLICA
02B,2B340,VELONE-ORNETO
02B,2B341,VENACO
02B,2B342,VENTISERI
02B,2B343,VENZOLASCA
02B,2B344,VERDESE
02B,2B346,VESCOVATO
02B,2B347,VEZZANI
02B,2B350,VIGNALE
02B,2B352,VILLE-DI-PARASO
02B,2B353,VILLE-DI-PIETRABUGNO
02B,2B354,VIVARIO
02B,2B355,VOLPAJOLA
02B,2B356,ZALANA
02B,2B361,ZILIA
02B,2B364,ZUANI
02B,2B365,SAN-GAVINO-DI-FIUMORBO
02B,2B366,CHISA
