inseecommuneprinc,referenceprel,dateprel,conclusionprel,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
2A362,02A00120574,2025-12-17,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A091,02A00120550,2025-12-17,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,S,C,S,C
2A163,02A00120552,2025-12-16,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C,C,C,N
2A004,02A00120553,2025-12-16,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A247,02A00120571,2025-12-16,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A269,02A00120556,2025-12-16,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A114,02A00120551,2025-12-16,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C,C,C,N
2A258,02A00120548,2025-12-15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A271,02A00120547,2025-12-10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A041,02A00120536,2025-12-09,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,C,C,C,N
2A272,02A00120526,2025-12-05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et la présence de germes sulfito-réducteurs est à surveiller. L'aluminium est à surveiller.,C,C,N,N
2A048,02A00120515,2025-12-04,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A348,02A00120533,2025-12-04,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable. L'aluminium est à surveiller.",C,C,C,N
2A141,02A00120512,2025-12-04,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A198,02A00120516,2025-12-04,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A212,02A00120514,2025-12-04,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un pH bas.,C,C,C,N
2A249,02A00120520,2025-12-03,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A090,02A00120511,2025-12-03,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La présence de germes sulfito-réducteurs est à surveiller.,C,C,N,C
2A300,02A00120499,2025-12-02,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,C,C,N,N
2A139,02A00120500,2025-12-02,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A092,02A00120501,2025-12-02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A032,02A00120527,2025-12-01,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A104,02A00120485,2025-12-01,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A326,02A00120484,2025-12-01,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,C,C,N,N
2A031,02A00120483,2025-12-01,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A085,02A00120502,2025-12-01,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A215,02A00120486,2025-11-28,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. L'aluminium est également à surveiller.,C,C,C,N
2A006,02A00120477,2025-11-28,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.,C,C,C,N
2A131,02A00120482,2025-11-28,"Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée. Afin de garantir une désinfection optimale et conforme aux exigences de qualité, il est recommandé de renforcer le maintien du taux de chlore libre à un minimum de 0,3 mg/L en sortie de production et de 0,1 mg/L en distribution, seuils nécessaires pour assurer une protection microbiologique continue sur l’ensemble du réseau.",N,C,N,N
2A196,02A00120493,2025-11-28,"Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée. Afin de garantir une désinfection optimale et conforme aux exigences de qualité, il est recommandé de renforcer le maintien du taux de chlore libre à un minimum de 0,3 mg/L en sortie de production et de 0,1 mg/L en distribution, seuils nécessaires pour assurer une protection microbiologique continue sur l’ensemble du réseau.",N,C,N,N
2A240,02A00120491,2025-11-28,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A174,02A00120494,2025-11-28,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un Ph bas.,C,C,C,N
2A024,02A00120437,2025-11-27,"Eau d'alimentation non conforme aux exigences de qualité en vigueur, du fait de la présence d'une teneur excessive en chlore libre.",C,C,C,C
2A357,02A00120445,2025-11-27,"Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée. Afin de garantir une désinfection optimale et conforme aux exigences de qualité, il est recommandé de renforcer le maintien du taux de chlore libre à un minimum de 0,3 mg/L en sortie de production et de 0,1 mg/L en distribution, seuils nécessaires pour assurer une protection microbiologique continue sur l’ensemble du réseau.",N,C,C,N
2A278,02A00120444,2025-11-27,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A285,02A00120518,2025-11-27,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A144,02A00120452,2025-11-27,"Eau d'alimentation non conforme aux exigences de qualité en vigueur, du fait de la présence d'une teneur excessive en chlore libre.",C,C,C,C
2A254,02A00120443,2025-11-27,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A209,02A00120442,2025-11-27,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,C,C,C,N
2A103,02A00120436,2025-11-27,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",C,C,C,N
2A022,02A00120455,2025-11-27,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2A270,02A00120456,2025-11-27,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
