inseecommuneprinc,referenceprel,dateprel,conclusionprel,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
2B033,02B00120003,2025-12-29,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B207,02B00119976,2025-12-18,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B087,02B00119915,2025-12-18,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B307,02B00119990,2025-12-18,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices.,C,C,N,C
2B252,02B00119765,2025-12-17,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B299,02B00119806,2025-12-17,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,N,C,N,C
2B297,02B00119800,2025-12-17,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B273,02B00119782,2025-12-17,Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme.,C,C,C,N
2B148,02B00119890,2025-12-16,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B042,02B00119901,2025-12-16,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B342,02B00119854,2025-12-15,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B251,02B00119962,2025-12-15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B123,02B00119943,2025-12-15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B346,02B00119981,2025-12-11,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B217,02B00119730,2025-12-11,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B202,02B00119718,2025-12-11,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,C,C,N,C
2B164,02B00119678,2025-12-11,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B096,02B00119626,2025-12-11,Eau d'alimentation conforme aux limites de qualité. La teneur en chlore libre est trop élévée. Eau faiblement minéralisée.,C,C,C,N
2B320,02B00119965,2025-12-10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B213,02B00119727,2025-12-10,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B161,02B00119675,2025-12-10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B053,02B00119581,2025-12-10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B354,02B00119868,2025-12-10,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B328,02B00119835,2025-12-10,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Bromates hors norme.,C,N,C,C
2B315,02B00119824,2025-12-10,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B327,02B00119834,2025-12-09,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B261,02B00119775,2025-12-09,Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme.,C,C,C,N
2B192,02B00119908,2025-12-04,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B298,02B00119803,2025-12-04,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B166,02B00119888,2025-12-04,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B184,02B00119700,2025-12-04,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B338,02B00119847,2025-12-03,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B256,02B00119768,2025-12-03,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B003,02B00119514,2025-12-03,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B081,02B00119611,2025-12-03,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B340,02B00119849,2025-12-02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B319,02B00119829,2025-12-02,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,N,C,N,C
2B242,02B00119754,2025-12-02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B037,02B00120064,2025-12-02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B046,02B00119559,2025-12-02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B152,02B00119667,2025-12-02,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,N,C,N,C
2B143,02B00119973,2025-12-01,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B110,02B00119638,2025-12-01,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B009,02B00119949,2025-12-01,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B005,02B00119516,2025-12-01,Eau d'alimentation conforme aux limites de qualité. Carbone Organique Total hors norme.,C,C,C,N
2B134,02B00120075,2025-12-01,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B316,02B00120070,2025-12-01,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B050,02B00119933,2025-12-01,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B210,02B00119726,2025-11-27,Eau d'alimentation conforme aux limites de qualité. La teneur en chlore libre est trop élévée. Turbidité hors norme. Présence de bactéries sulfito-réductrices.,C,C,N,N
2B318,02B00119826,2025-11-27,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B145,02B00119656,2025-11-26,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B245,02B00119758,2025-11-26,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,C,C,C,C
2B214,02B00119728,2025-11-26,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,N,C,N,C
2B280,02B00119784,2025-11-26,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
2B072,02B00119600,2025-11-26,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B120,02B00119642,2025-11-24,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
2B353,02B00120054,2025-11-24,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,C,C,C,N
