referenceprel,libmajparametre,limitequal,valtraduite
02A00117953,ASPECT (QUALITATIF),,0.000000
02A00117953,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00117953,CONDUCTIVITÉ À 25°C,,222.000000
02A00117953,CHLORE LIBRE,,0.530000
02A00117953,CHLORE TOTAL,,0.660000
02A00117953,COULEUR (QUALITATIF),,0.000000
02A00117953,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00117953,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00117953,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02A00117953,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00117953,AMMONIUM (EN NH4),,0.000000
02A00117953,ODEUR (QUALITATIF),,0.000000
02A00117953,PH ,,6.900000
02A00117953,SAVEUR (QUALITATIF),,0.000000
02A00117953,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00117953,TEMPÉRATURE DE L'EAU,,15.100000
02A00117953,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00119769,ASPECT (QUALITATIF),,0.000000
02A00119769,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00119769,CONDUCTIVITÉ À 25°C,,215.000000
02A00119769,CHLORE LIBRE,,0.190000
02A00119769,CHLORE TOTAL,,0.310000
02A00119769,COULEUR (QUALITATIF),,0.000000
02A00119769,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00119769,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00119769,BACT. AÉR. REVIVIFIABLES À 22°-68H,,3.000000
02A00119769,BACT. AÉR. REVIVIFIABLES À 36°-44H,,2.000000
02A00119769,AMMONIUM (EN NH4),,0.000000
02A00119769,ODEUR (QUALITATIF),,0.000000
02A00119769,PH ,,7.000000
02A00119769,SAVEUR (QUALITATIF),,0.000000
02A00119769,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00119769,TEMPÉRATURE DE L'EAU,,25.900000
02A00119769,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00119867,ASPECT (QUALITATIF),,0.000000
02A00119867,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00119867,CONDUCTIVITÉ À 25°C,,231.000000
02A00119867,CHLORE LIBRE,,0.180000
02A00119867,CHLORE TOTAL,,0.290000
02A00119867,COULEUR (QUALITATIF),,0.000000
02A00119867,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00119867,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00119867,BACT. AÉR. REVIVIFIABLES À 22°-68H,,51.000000
02A00119867,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00119867,AMMONIUM (EN NH4),,0.000000
02A00119867,ODEUR (QUALITATIF),,0.000000
02A00119867,PH ,,7.000000
02A00119867,SAVEUR (QUALITATIF),,0.000000
02A00119867,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00119867,TEMPÉRATURE DE L'EAU,,20.500000
02A00119867,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00119969,ASPECT (QUALITATIF),,0.000000
02A00119969,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00119969,CONDUCTIVITÉ À 25°C,,130.000000
02A00119969,CHLORE LIBRE,,0.080000
02A00119969,CHLORE TOTAL,,0.160000
02A00119969,COULEUR (QUALITATIF),,0.000000
02A00119969,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00119969,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00119969,BACT. AÉR. REVIVIFIABLES À 22°-68H,,3.000000
02A00119969,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
02A00119969,AMMONIUM (EN NH4),,0.000000
02A00119969,ODEUR (QUALITATIF),,0.000000
02A00119969,PH ,,7.100000
02A00119969,SAVEUR (QUALITATIF),,0.000000
02A00119969,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00119969,TEMPÉRATURE DE L'EAU,,24.000000
02A00119969,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00120004,ASPECT (QUALITATIF),,0.000000
02A00120004,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00120004,CONDUCTIVITÉ À 25°C,,209.000000
02A00120004,CHLORE LIBRE,,0.600000
02A00120004,CHLORE TOTAL,,0.670000
02A00120004,COULEUR (QUALITATIF),,0.000000
02A00120004,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120004,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120004,BACT. AÉR. REVIVIFIABLES À 22°-68H,,7.000000
02A00120004,BACT. AÉR. REVIVIFIABLES À 36°-44H,,6.000000
02A00120004,AMMONIUM (EN NH4),,0.000000
02A00120004,ODEUR (QUALITATIF),,1.000000
02A00120004,PH ,,7.600000
02A00120004,SAVEUR (QUALITATIF),,0.000000
02A00120004,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00120004,TEMPÉRATURE DE L'EAU,,20.200000
02A00120004,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00120008,ASPECT (QUALITATIF),,0.000000
02A00120008,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00120008,CONDUCTIVITÉ À 25°C,,192.000000
02A00120008,CHLORE LIBRE,,0.100000
02A00120008,CHLORE TOTAL,,0.140000
02A00120008,COULEUR (QUALITATIF),,0.000000
02A00120008,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120008,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120008,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02A00120008,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00120008,AMMONIUM (EN NH4),,0.000000
02A00120008,ODEUR (QUALITATIF),,0.000000
02A00120008,PH ,,7.500000
02A00120008,SAVEUR (QUALITATIF),,0.000000
02A00120008,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00120008,TEMPÉRATURE DE L'EAU,,19.900000
02A00120008,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00120034,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00120034,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120034,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120034,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
02A00120034,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00120034,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00120040,ASPECT (QUALITATIF),,0.000000
02A00120040,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00120040,CONDUCTIVITÉ À 25°C,,164.000000
02A00120040,CHLORE LIBRE,,0.000000
02A00120040,CHLORE TOTAL,,0.000000
02A00120040,COULEUR (QUALITATIF),,0.000000
02A00120040,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120040,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120040,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
02A00120040,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00120040,AMMONIUM (EN NH4),,0.000000
02A00120040,ODEUR (QUALITATIF),,0.000000
02A00120040,PH ,,7.400000
02A00120040,SAVEUR (QUALITATIF),,0.000000
02A00120040,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00120040,TEMPÉRATURE DE L'EAU,,20.400000
02A00120040,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00120092,ASPECT (QUALITATIF),,0.000000
02A00120092,BACT. ET SPORES SULFITO-RÉDU./100ML,,1.000000
02A00120092,CALCIUM,,4.100000
02A00120092,CONDUCTIVITÉ À 25°C,,143.000000
02A00120092,CHLORURES,,26.100000
02A00120092,CHLORE LIBRE,,0.140000
02A00120092,CHLORE TOTAL,,0.180000
02A00120092,CARBONE ORGANIQUE TOTAL,,1.300000
02A00120092,COULEUR (QUALITATIF),,0.000000
02A00120092,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120092,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120092,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02A00120092,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00120092,MAGNÉSIUM,,3.100000
02A00120092,AMMONIUM (EN NH4),,0.000000
02A00120092,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
02A00120092,NITRATES (EN NO3),<=50 mg/L,0.000000
02A00120092,NITRATES/50 + NITRITES/3,<=1 mg/L,0.000000
02A00120092,ODEUR (QUALITATIF),,0.000000
02A00120092,PH ,,7.500000
02A00120092,SAVEUR (QUALITATIF),,0.000000
02A00120092,SULFATES,,4.900000
02A00120092,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02A00120092,TITRE ALCALIMÉTRIQUE,,0.000000
02A00120092,TITRE ALCALIMÉTRIQUE COMPLET,,2.300000
02A00120092,TEMPÉRATURE DE L'EAU,,21.900000
02A00120092,TITRE HYDROTIMÉTRIQUE,,2.300000
02A00120092,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
02A00120115,"DICHLOROÉTHANE-1,2",<=3 µg/L,0.000000
02A00120115,"2,6 DICHLOROBENZAMIDE","<=0,1 µg/L",0.000000
02A00120115,ACRYLAMIDE,<=0.1 µg/L,0.000000
02A00120115,ACTIVITÉ TRITIUM (3H),,0.000000
02A00120115,ATRAZINE DÉSÉTHYL,"<=0,1 µg/L",0.000000
02A00120115,ATRAZINE-DÉISOPROPYL,"<=0,1 µg/L",0.000000
02A00120115,ALACHLORE,"<=0,1 µg/L",0.000000
02A00120115,ALDRINE,"<=0,03 µg/L",0.000000
02A00120115,ALUMINIUM TOTAL µG/L,,0.000000
02A00120115,AMINOTRIAZOLE,"<=0,1 µg/L",0.000000
02A00120115,AMPA,"<=0,1 µg/L",0.000000
02A00120115,ARSENIC,<=10 µg/L,0.000000
02A00120115,ASPECT (QUALITATIF),,0.000000
02A00120115,ATRAZINE,"<=0,1 µg/L",0.000000
02A00120115,AZOXYSTROBINE,"<=0,1 µg/L",0.000000
02A00120115,BARYUM,,0.014000
02A00120115,BENZÈNE,<=1 µg/L,0.000000
02A00120115,ETHYLBENZÈNE,,0.000000
02A00120115,BORE MG/L,"<=1,5 mg/L",0.015000
02A00120115,BROMATES,<=10 µg/L,0.000000
02A00120115,BROMOFORME,<=100 µg/L,13.000000
02A00120115,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02A00120115,BENTAZONE,"<=0,1 µg/L",0.000000
02A00120115,CALCIUM,,14.500000
02A00120115,EQUILIBRE CALCOCARBONIQUE 0/1/2/3/4,,4.000000
02A00120115,CARBOPHÉNOTION,"<=0,1 µg/L",0.000000
02A00120115,CONDUCTIVITÉ À 25°C,,253.000000
02A00120115,CHLORURES,,37.200000
02A00120115,CHLORE LIBRE,,0.260000
02A00120115,CHLORE TOTAL,,0.380000
02A00120115,CHLOROFORME,<=100 µg/L,5.700000
02A00120115,CHLORURE DE VINYL MONOMÈRE,<=0.5 µg/L,0.000000
02A00120115,CARBONE ORGANIQUE TOTAL,,0.900000
02A00120115,COULEUR (QUALITATIF),,0.000000
02A00120115,CYPROCONAZOL,"<=0,1 µg/L",0.000000
02A00120115,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02A00120115,CHLORTOLURON,"<=0,1 µg/L",0.000000
02A00120115,CYANURES TOTAUX,<=50 µg(CN)/L,0.000000
02A00120115,CYANAZINE,"<=0,1 µg/L",0.000000
02A00120115,CHLORODIBROMOMÉTHANE,<=100 µg/L,26.000000
02A00120115,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,14.000000
02A00120115,DICHLORPROP,"<=0,1 µg/L",0.000000
02A00120115,"DDD-4,4'","<=0,1 µg/L",0.000000
02A00120115,"DDE-4,4'","<=0,1 µg/L",0.000000
02A00120115,"DDT-2,4'","<=0,1 µg/L",0.000000
02A00120115,"DDT-4,4'","<=0,1 µg/L",0.000000
02A00120115,DIFLUFÉNICANIL,"<=0,1 µg/L",0.000000
02A00120115,DIURON,"<=0,1 µg/L",0.000000
02A00120115,DIMÉTHÉNAMIDE,"<=0,1 µg/L",0.000000
02A00120115,DIMÉTHOMORPHE,"<=0,1 µg/L",0.000000
02A00120115,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02A00120115,ENDOSULFAN ALPHA,"<=0,1 µg/L",0.000000
02A00120115,EPICHLOROHYDRINE,<=0.1 µg/L,0.000000
02A00120115,EPOXYCONAZOLE,"<=0,1 µg/L",0.000000
02A00120115,ETHOFUMÉSATE,"<=0,1 µg/L",0.000000
02A00120115,FER TOTAL,,27.000000
02A00120115,FLAZASULFURON,"<=0,1 µg/L",0.000000
02A00120115,FLUORURES MG/L,"<=1,5 mg/L",0.230000
02A00120115,MÉCOPROP,"<=0,1 µg/L",0.000000
02A00120115,FÉNURON,"<=0,1 µg/L",0.000000
02A00120115,FENPROPIDIN,"<=0,1 µg/L",0.000000
02A00120115,GLYPHOSATE,"<=0,1 µg/L",0.000000
02A00120115,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02A00120115,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02A00120115,HEXACHLOROBENZÈNE,"<=0,1 µg/L",0.000000
02A00120115,HCH ALPHA,"<=0,1 µg/L",0.000000
02A00120115,HCH BÉTA,"<=0,1 µg/L",0.000000
02A00120115,HCH GAMMA (LINDANE),"<=0,1 µg/L",0.000000
02A00120115,DIELDRINE,"<=0,03 µg/L",0.000000
02A00120115,HEPTACHLORE,"<=0,03 µg/L",0.000000
02A00120115,HEPTACHLORE ÉPOXYDE,"<=0,03 µg/L",0.000000
02A00120115,MERCURE,<=1 µg/L,0.000000
02A00120115,IMIDACLOPRIDE,"<=0,1 µg/L",0.000000
02A00120115,ISOPROTURON,"<=0,1 µg/L",0.000000
02A00120115,ISOXABEN,"<=0,1 µg/L",0.000000
02A00120115,LINURON,"<=0,1 µg/L",0.000000
02A00120115,MALATHION,"<=0,1 µg/L",0.000000
02A00120115,"2,4-MCPA","<=0,1 µg/L",0.000000
02A00120115,MÉTALAXYLE,"<=0,1 µg/L",0.000000
02A00120115,MAGNÉSIUM,,5.900000
02A00120115,MANGANÈSE TOTAL,,0.000000
02A00120115,ESSAI MARBRE PH,,7.800000
02A00120115,ESSAI MARBRE TAC,,9.500000
02A00120115,MÉTOLACHLORE,"<=0,1 µg/L",0.000000
02A00120115,MÉTHOXYCHLORE,"<=0,1 µg/L",0.000000
02A00120115,MYCLOBUTANIL,"<=0,1 µg/L",0.000000
02A00120115,SODIUM,,23.700000
02A00120115,NAPROPAMIDE,"<=0,1 µg/L",0.000000
02A00120115,AMMONIUM (EN NH4),,0.000000
02A00120115,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
02A00120115,NITRATES (EN NO3),<=50 mg/L,0.000000
02A00120115,NITRATES/50 + NITRITES/3,<=1 mg/L,0.000000
02A00120115,ODEUR (QUALITATIF),,0.000000
