referenceprel,libmajparametre,limitequal,valtraduite
02B00118339,"DICHLOROÉTHANE-1,2",<=3 µg/L,0.000000
02B00118339,"2,6 DICHLOROBENZAMIDE","<=0,1 µg/L",0.000000
02B00118339,ACRYLAMIDE,<=0.1 µg/L,0.000000
02B00118339,ACTIVITÉ TRITIUM (3H),,0.000000
02B00118339,ATRAZINE DÉSÉTHYL,"<=0,1 µg/L",0.000000
02B00118339,ATRAZINE-DÉISOPROPYL,"<=0,1 µg/L",0.000000
02B00118339,ALACHLORE,"<=0,1 µg/L",0.000000
02B00118339,ALDRINE,"<=0,03 µg/L",0.000000
02B00118339,ALUMINIUM TOTAL µG/L,,0.000000
02B00118339,AMINOTRIAZOLE,"<=0,1 µg/L",0.000000
02B00118339,AMPA,,0.000000
02B00118339,ARSENIC,<=10 µg/L,0.000000
02B00118339,ASPECT (QUALITATIF),,0.000000
02B00118339,ATRAZINE,"<=0,1 µg/L",0.000000
02B00118339,AZOXYSTROBINE,"<=0,1 µg/L",0.000000
02B00118339,BARYUM,,0.037000
02B00118339,BENZÈNE,<=1 µg/L,0.000000
02B00118339,BORE MG/L,"<=1,5 mg/L",0.048000
02B00118339,BROMATES,<=10 µg/L,0.000000
02B00118339,BROMOFORME,<=100 µg/L,44.000000
02B00118339,BACT. ET SPORES SULFITO-RÉDU./100ML,,27.000000
02B00118339,BENTAZONE,"<=0,1 µg/L",0.000000
02B00118339,CALCIUM,,77.730000
02B00118339,EQUILIBRE CALCOCARBONIQUE 0/1/2/3/4,,0.000000
02B00118339,CARBOPHÉNOTION,"<=0,1 µg/L",0.000000
02B00118339,CONDUCTIVITÉ À 25°C,,1440.000000
02B00118339,CHLORURES,,224.000000
02B00118339,CHLORE LIBRE,,0.000000
02B00118339,CHLORE TOTAL,,0.000000
02B00118339,CHLOROFORME,<=100 µg/L,0.000000
02B00118339,CHLORURE DE VINYL MONOMÈRE,<=0.5 µg/L,0.000000
02B00118339,CARBONE ORGANIQUE TOTAL,,1.400000
02B00118339,COULEUR (QUALITATIF),,0.000000
02B00118339,CYPROCONAZOL,"<=0,1 µg/L",0.000000
02B00118339,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02B00118339,CHLORTOLURON,"<=0,1 µg/L",0.000000
02B00118339,CYANURES TOTAUX,<=50 µg(CN)/L,0.000000
02B00118339,CYANAZINE,"<=0,1 µg/L",0.000000
02B00118339,CHLORODIBROMOMÉTHANE,<=100 µg/L,1.200000
02B00118339,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,0.000000
02B00118339,DICHLORPROP,"<=0,1 µg/L",0.000000
02B00118339,DICHLORPROP-P,"<=0,1 µg/L",0.000000
02B00118339,"DDD-4,4'","<=0,1 µg/L",0.000000
02B00118339,"DDE-4,4'","<=0,1 µg/L",0.000000
02B00118339,"DDT-2,4'","<=0,1 µg/L",0.000000
02B00118339,"DDT-4,4'","<=0,1 µg/L",0.000000
02B00118339,DIFLUFÉNICANIL,"<=0,1 µg/L",0.000000
02B00118339,DIURON,"<=0,1 µg/L",0.000000
02B00118339,DIMETHENAMIDE-P,"<=0,1 µg/L",0.000000
02B00118339,DIMÉTHOMORPHE,"<=0,1 µg/L",0.000000
02B00118339,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02B00118339,ENDOSULFAN ALPHA,"<=0,1 µg/L",0.000000
02B00118339,EPICHLOROHYDRINE,<=0.1 µg/L,0.000000
02B00118339,EPOXYCONAZOLE,"<=0,1 µg/L",0.000000
02B00118339,ETHOFUMÉSATE,"<=0,1 µg/L",0.000000
02B00118339,FER TOTAL,,0.000000
02B00118339,FLAZASULFURON,"<=0,1 µg/L",0.000000
02B00118339,FLUORURES MG/L,"<=1,5 mg/L",0.110000
02B00118339,FÉNURON,"<=0,1 µg/L",0.000000
02B00118339,FENPROPIDIN,"<=0,1 µg/L",0.000000
02B00118339,GLYPHOSATE,"<=0,1 µg/L",0.000000
02B00118339,BACT. AÉR. REVIVIFIABLES À 22°-68H,,19.000000
02B00118339,BACT. AÉR. REVIVIFIABLES À 36°-44H,,26.000000
02B00118339,HEXACHLOROBENZÈNE,"<=0,1 µg/L",0.000000
02B00118339,HCH ALPHA,"<=0,1 µg/L",0.000000
02B00118339,HCH BÉTA,"<=0,1 µg/L",0.000000
02B00118339,HCH GAMMA (LINDANE),"<=0,1 µg/L",0.000000
02B00118339,DIELDRINE,"<=0,03 µg/L",0.000000
02B00118339,HEPTACHLORE,"<=0,03 µg/L",0.000000
02B00118339,HEPTACHLORE ÉPOXYDE,"<=0,03 µg/L",0.000000
02B00118339,MERCURE,<=1 µg/L,0.000000
02B00118339,IMIDACLOPRIDE,"<=0,1 µg/L",0.000000
02B00118339,ISOPROTURON,"<=0,1 µg/L",0.000000
02B00118339,ISOXABEN,"<=0,1 µg/L",0.000000
02B00118339,POTASSIUM,,3.900000
02B00118339,LINURON,"<=0,1 µg/L",0.000000
02B00118339,MALATHION,"<=0,1 µg/L",0.000000
02B00118339,"2,4-MCPA","<=0,1 µg/L",0.000000
02B00118339,MECOPROP-1-OCTYL ESTER,"<=0,1 µg/L",0.000000
02B00118339,MÉTALAXYLE,"<=0,1 µg/L",0.000000
02B00118339,MAGNÉSIUM,,55.700000
02B00118339,MANGANÈSE TOTAL,,0.000000
02B00118339,ESSAI MARBRE TAC,,27.700000
02B00118339,MÉTOLACHLORE,"<=0,1 µg/L",0.000000
02B00118339,MÉTHOXYCHLORE,"<=0,1 µg/L",0.000000
02B00118339,MYCLOBUTANIL,"<=0,1 µg/L",0.000000
02B00118339,SODIUM,,122.540000
02B00118339,NAPROPAMIDE,"<=0,1 µg/L",0.000000
02B00118339,"N,N-DIMETHYLSULFAMIDE","<=0,1 µg/L",0.000000
02B00118339,AMMONIUM (EN NH4),,0.000000
02B00118339,NITRITES (EN NO2),"<=0,5 mg/L",0.000000
02B00118339,NITRATES (EN NO3),<=50 mg/L,0.000000
02B00118339,NITRATES/50 + NITRITES/3,<=1 mg/L,0.000000
02B00118339,ODEUR (QUALITATIF),,0.000000
02B00118339,OXADIAZON,"<=0,1 µg/L",0.000000
02B00118339,PCB 101,,0.000000
02B00118339,PCB 118,,0.000000
02B00118339,PCB 138,,0.000000
02B00118339,PCB 153,,0.000000
02B00118339,PCB 180,,0.000000
02B00118339,PCB 194,,0.000000
02B00118339,PCB 28,,0.000000
02B00118339,PCB 52,,0.000000
02B00118339,POLYCHLOROBIPHÉNILES INDICATEURS,,0.000000
02B00118339,TOTAL DES PESTICIDES ANALYSÉS,"<=0,5 µg/L",0.000000
02B00118339,PH ,,7.810000
02B00118339,PH EQUILIBRE CALCULÉ À 20°C,,7.340000
02B00118339,PHOSMET,"<=0,1 µg/L",0.000000
02B00118339,PROPICONAZOLE,"<=0,1 µg/L",0.000000
02B00118339,PROPARGITE,"<=0,1 µg/L",0.000000
02B00118339,PROPYZAMIDE,"<=0,1 µg/L",0.000000
02B00118339,ACTIVITÉ ALPHA GLOBALE EN BQ/L,,0.000000
02B00118339,ACTIVITÉ BÉTA GLOBALE EN BQ/L,,0.100000
02B00118339,SAVEUR (QUALITATIF),,0.000000
02B00118339,SÉLÉNIUM,<=20 µg(Se)/L,0.000000
02B00118339,SECBUMÉTON,"<=0,1 µg/L",0.000000
02B00118339,SIMAZINE,"<=0,1 µg/L",0.000000
02B00118339,SULFATES,,94.000000
02B00118339,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02B00118339,SULFOSATE,"<=0,1 µg/L",0.000000
02B00118339,TITRE ALCALIMÉTRIQUE,,0.000000
02B00118339,TITRE ALCALIMÉTRIQUE COMPLET,,31.090000
02B00118339,TÉBUCONAZOLE,"<=0,1 µg/L",0.000000
02B00118339,TERBUTHYLAZIN,"<=0,1 µg/L",0.000000
02B00118339,"TÉTRACHLOROÉTHYLÈNE-1,1,2,2",<=10 µg/L,0.000000
02B00118339,TÉTRACHLOROÉTHYLÈN+TRICHLOROÉTHYLÈNE,<=10 µg/L,0.000000
02B00118339,TRICHLOROÉTHYLÈNE,<=10 µg/L,0.000000
02B00118339,TEMPÉRATURE DE L'EAU,,24.300000
02B00118339,TERBUPHOS,"<=0,1 µg/L",0.000000
02B00118339,TERBUMÉTON,"<=0,1 µg/L",0.000000
02B00118339,TERBUTRYNE,"<=0,1 µg/L",0.000000
02B00118339,TITRE HYDROTIMÉTRIQUE,,42.350000
02B00118339,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,45.000000
02B00118339,TRIFLURALINE,"<=0,1 µg/L",0.000000
02B00118339,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.170000
02B00118480,ASPECT (QUALITATIF),,0.000000
02B00118480,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02B00118480,CONDUCTIVITÉ À 25°C,,407.000000
02B00118480,CHLORE LIBRE,,0.500000
02B00118480,CHLORE TOTAL,,0.540000
02B00118480,COULEUR (QUALITATIF),,0.000000
02B00118480,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02B00118480,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02B00118480,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02B00118480,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02B00118480,AMMONIUM (EN NH4),,0.000000
02B00118480,ODEUR (QUALITATIF),,0.000000
02B00118480,PH ,,7.200000
02B00118480,SAVEUR (QUALITATIF),,0.000000
02B00118480,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02B00118480,TEMPÉRATURE DE L'EAU,,19.500000
02B00118480,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.350000
02B00118535,ASPECT (QUALITATIF),,0.000000
02B00118535,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02B00118535,CALCIUM,,15.000000
02B00118535,CONDUCTIVITÉ À 25°C,,149.000000
02B00118535,CHLORURES,,3.700000
02B00118535,CHLORE LIBRE,,0.000000
02B00118535,CHLORE TOTAL,,0.000000
02B00118535,CARBONE ORGANIQUE TOTAL,,0.500000
02B00118535,COULEUR (QUALITATIF),,0.000000
02B00118535,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02B00118535,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02B00118535,BACT. AÉR. REVIVIFIABLES À 22°-68H,,9.000000
02B00118535,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02B00118535,AMMONIUM (EN NH4),,0.000000
02B00118535,NITRITES (EN NO2),"<=0,5 mg/L",0.000000
02B00118535,NITRATES (EN NO3),<=50 mg/L,0.000000
02B00118535,NITRATES/50 + NITRITES/3,<=1 mg/L,0.000000
02B00118535,ODEUR (QUALITATIF),,0.000000
02B00118535,PH ,,8.350000
02B00118535,SAVEUR (QUALITATIF),,0.000000
02B00118535,SULFATES,,5.100000
02B00118535,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
02B00118535,TITRE ALCALIMÉTRIQUE,,0.000000
02B00118535,TITRE ALCALIMÉTRIQUE COMPLET,,6.510000
02B00118535,TEMPÉRATURE DE L'EAU,,11.400000
02B00118535,TITRE HYDROTIMÉTRIQUE,,6.910000
02B00118535,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.420000
02B00118708,ASPECT (QUALITATIF),,0.000000
02B00118708,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
02B00118708,CALCIUM,,25.500000
02B00118708,CONDUCTIVITÉ À 25°C,,270.000000
02B00118708,CHLORURES,,17.000000
02B00118708,CHLORE DISPONIBLE,,0.540000
02B00118708,CHLORE TOTAL,,0.580000
02B00118708,CARBONE ORGANIQUE TOTAL,,0.600000
02B00118708,COULEUR (QUALITATIF),,0.000000
02B00118708,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
02B00118708,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
02B00118708,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
02B00118708,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
02B00118708,AMMONIUM (EN NH4),,0.000000
