referenceprel,libmajparametre,limitequal,valtraduite
04900170823,ASPECT (QUALITATIF),,0.000000
04900170823,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900170823,CONDUCTIVITÉ À 25°C,,501.000000
04900170823,CHLORE LIBRE,,0.280000
04900170823,CHLORE TOTAL,,0.300000
04900170823,COLORATION,,0.000000
04900170823,COULEUR (QUALITATIF),,0.000000
04900170823,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900170823,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900170823,FER TOTAL,,7.000000
04900170823,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900170823,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900170823,AMMONIUM (EN NH4),,0.000000
04900170823,ODEUR (QUALITATIF),,0.000000
04900170823,PH ,,7.900000
04900170823,PH ,,7.800000
04900170823,SAVEUR (QUALITATIF),,0.000000
04900170823,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900170823,TEMPÉRATURE DE L'EAU,,10.000000
04900170823,TEMPÉRATURE DE MESURE DU PH,,18.400000
04900170823,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900171426,ASPECT (QUALITATIF),,0.000000
04900171426,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900171426,CONDUCTIVITÉ À 25°C,,424.000000
04900171426,CHLORE LIBRE,,0.940000
04900171426,CHLORE TOTAL,,1.030000
04900171426,COLORATION,,0.000000
04900171426,COULEUR (QUALITATIF),,0.000000
04900171426,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900171426,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900171426,FER TOTAL,,3.000000
04900171426,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900171426,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900171426,AMMONIUM (EN NH4),,0.000000
04900171426,ODEUR (QUALITATIF),,0.000000
04900171426,PH ,,8.200000
04900171426,PH ,,8.100000
04900171426,SAVEUR (QUALITATIF),,0.000000
04900171426,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900171426,TEMPÉRATURE DE L'EAU,,9.000000
04900171426,TEMPÉRATURE DE MESURE DU PH,,18.600000
04900171426,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900171512,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900171512,CHLORE LIBRE,,0.100000
04900171512,CHLORE TOTAL,,0.160000
04900171512,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900171512,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900171512,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900171512,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900171512,PH ,,8.100000
04900171512,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900171512,TEMPÉRATURE DE L'EAU,,10.000000
04900171512,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900171976,ASPECT (QUALITATIF),,0.000000
04900171976,BROMOFORME,<=100 µg/L,0.380000
04900171976,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900171976,CONDUCTIVITÉ À 25°C,,405.000000
04900171976,CHLORE LIBRE,,0.430000
04900171976,CHLORE TOTAL,,0.540000
04900171976,CHLOROFORME,<=100 µg/L,13.000000
04900171976,COLORATION,,0.000000
04900171976,COULEUR (QUALITATIF),,0.000000
04900171976,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900171976,CHLORODIBROMOMÉTHANE,<=100 µg/L,4.300000
04900171976,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,8.300000
04900171976,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900171976,FER TOTAL,,3.000000
04900171976,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900171976,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900171976,AMMONIUM (EN NH4),,0.000000
04900171976,ODEUR (QUALITATIF),,0.000000
04900171976,PH ,,8.100000
04900171976,PH ,,8.000000
04900171976,SAVEUR (QUALITATIF),,0.000000
04900171976,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900171976,TEMPÉRATURE DE L'EAU,,13.600000
04900171976,TEMPÉRATURE DE MESURE DU PH,,19.400000
04900171976,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,26.000000
04900171976,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900172270,ASPECT (QUALITATIF),,0.000000
04900172270,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900172270,CONDUCTIVITÉ À 25°C,,392.000000
04900172270,CHLORE LIBRE,,0.180000
04900172270,CHLORE TOTAL,,0.310000
04900172270,COLORATION,,0.000000
04900172270,COULEUR (QUALITATIF),,0.000000
04900172270,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900172270,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900172270,FER TOTAL,,7.000000
04900172270,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900172270,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
04900172270,AMMONIUM (EN NH4),,0.011000
04900172270,ODEUR (QUALITATIF),,0.000000
04900172270,PH ,,8.000000
04900172270,PH ,,8.000000
04900172270,SAVEUR (QUALITATIF),,0.000000
04900172270,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900172270,TEMPÉRATURE DE L'EAU,,17.400000
04900172270,TEMPÉRATURE DE MESURE DU PH,,21.300000
04900172270,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900173216,ASPECT (QUALITATIF),,0.000000
04900173216,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900173216,CONDUCTIVITÉ À 25°C,,734.000000
04900173216,CHLORE LIBRE,,0.110000
04900173216,CHLORE TOTAL,,0.230000
04900173216,COLORATION,,0.000000
04900173216,COULEUR (QUALITATIF),,0.000000
04900173216,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900173216,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900173216,FER TOTAL,,35.000000
04900173216,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
04900173216,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900173216,AMMONIUM (EN NH4),,0.000000
04900173216,ODEUR (QUALITATIF),,0.000000
04900173216,PH ,,7.900000
04900173216,PH ,,7.700000
04900173216,SAVEUR (QUALITATIF),,0.000000
04900173216,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900173216,TEMPÉRATURE DE L'EAU,,22.500000
04900173216,TEMPÉRATURE DE MESURE DU PH,,20.400000
04900173216,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900173225,ASPECT (QUALITATIF),,0.000000
04900173225,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900173225,CONDUCTIVITÉ À 25°C,,409.000000
04900173225,CHLORE LIBRE,,0.260000
04900173225,CHLORE TOTAL,,0.410000
04900173225,COLORATION,,0.000000
04900173225,COULEUR (QUALITATIF),,0.000000
04900173225,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900173225,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900173225,FER TOTAL,,21.000000
04900173225,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
04900173225,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
04900173225,AMMONIUM (EN NH4),,0.000000
04900173225,ODEUR (QUALITATIF),,0.000000
04900173225,PH ,,8.000000
04900173225,PH ,,8.300000
04900173225,SAVEUR (QUALITATIF),,0.000000
04900173225,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
04900173225,TEMPÉRATURE DE L'EAU,,24.000000
04900173225,TEMPÉRATURE DE MESURE DU PH,,21.100000
04900173225,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
04900173278,ASPECT (QUALITATIF),,0.000000
04900173278,BROMOFORME,<=100 µg/L,1.200000
04900173278,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
04900173278,CONDUCTIVITÉ À 25°C,,427.000000
04900173278,CHLORE LIBRE,,0.450000
04900173278,CHLORE TOTAL,,0.550000
04900173278,CHLOROFORME,<=100 µg/L,20.000000
04900173278,COLORATION,,0.000000
04900173278,COULEUR (QUALITATIF),,0.000000
04900173278,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
04900173278,CHLORODIBROMOMÉTHANE,<=100 µg/L,9.700000
04900173278,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,13.000000
04900173278,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
04900173278,FER TOTAL,,4.000000
04900173278,BACT. AÉR. REVIVIFIABLES À 22°-68H,,4.000000
04900173278,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
04900173278,AMMONIUM (EN NH4),,0.000000
04900173278,ODEUR (QUALITATIF),,0.000000
04900173278,PH ,,8.200000
04900173278,PH ,,8.100000
04900173278,SAVEUR (QUALITATIF),,0.000000
04900173278,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
